OBJECTID,RSL2005__cm_,RSL2020__cm_,RSL2030__cm_,RSL2040__cm_,RSL2050__cm_,RSL2060__cm_,RSL2070__cm_,RSL2080__cm_,RSL2090__cm_,RSL2100__cm_,RSL2110__cm_,RSL2120__cm_,RSL2130__cm_,RSL2140__cm_,RSL2150__cm_
391,0,3,10,20,32,45,60,77,95,115,135,155,175,195,215,235
392,0,2,9,18,29,41,55,71,87,104,121,137,153,169,185,200
393,0,4,12,24,37,52,68,86,106,128,150,171,192,212,232,252
394,0,1,7,15,24,35,47,61,75,90,106,121,136,150,164,178
395,0,2,9,18,30,43,58,75,93,113,133,152,171,189,207,224
396,0,3,11,22,35,50,67,86,106,128,150,171,192,212,232,252
397,0,1,8,16,27,39,52,67,83,100,117,133,149,164,179,194
398,0,2,10,20,33,47,63,81,100,121,142,162,182,201,220,238
399,0,3,11,22,36,51,68,87,107,129,151,172,193,213,233,252
400,0,2,9,18,30,43,58,75,93,113,133,152,171,189,207,224
401,0,3,12,23,36,51,68,87,107,129,151,172,193,213,233,252
402,0,1,7,15,25,36,49,63,78,94,110,125,140,154,168,182
403,0,2,10,20,32,46,62,80,99,120,141,161,181,200,219,237
404,0,3,11,22,36,51,68,87,107,129,151,172,193,213,233,252
405,0,2,9,18,29,42,56,72,89,107,125,142,158,174,189,204
